tier	label	repo	kind	oracle_priority	corpus_priority	source	status	curation_score	code_hit_count	stars	html_url	positive_reasons	negative_reasons
tier2	lofilabo-zoe-true-language	lofilabo/zoe-true-language	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	56	42	0	https://github.com/lofilabo/zoe-true-language	path-test-or-example-signal,path-lol-extension-signal	
tier2	jynnantonix-lolcode	jynnantonix/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	52	20	0	https://github.com/jynnantonix/lolcode	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	mldamalerio-lolcode-interpreter	mldamalerio/LOLCODE-Interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	43	3	0	https://github.com/mldamalerio/LOLCODE-Interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	roxanneypr-lolcode-interpreter	roxanneypr/LolCode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	43	3	0	https://github.com/roxanneypr/LolCode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	lolcodepp-lci	lolcodepp/lci	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	10	0	https://github.com/lolcodepp/lci	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	redcapital-layo	redcapital/layo	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	10	0	https://github.com/redcapital/layo	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	camanzanido-lolcode-interpreter	camanzanido/LOLCODE-Interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	2	0	https://github.com/camanzanido/LOLCODE-Interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	rdohms-lolcode-parser	rdohms/lolcode-parser	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	2	0	https://github.com/rdohms/lolcode-parser	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	abcd-rgb-lolcode-interpreter	ABCD-rgb/lolcode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	41	1	0	https://github.com/ABCD-rgb/lolcode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	ebrahimgabriel-lolcode-interpreter	EbrahimGabriel/lolcode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	41	1	0	https://github.com/EbrahimGabriel/lolcode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	krispypatata-lolcode-interpreter-py	krispypatata/lolcode-interpreter-py	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	41	1	0	https://github.com/krispypatata/lolcode-interpreter-py	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	darylldan-lolcode-testcases	darylldan/lolcode-testcases	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	37	5	0	https://github.com/darylldan/lolcode-testcases	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	jocelyne8-lolcode	jocelyne8/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	9	4	https://github.com/jocelyne8/lolcode	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	belkadan-lolcode-rb	belkadan/lolcode-rb	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	3	0	https://github.com/belkadan/lolcode-rb	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	simark-lolc	simark/lolc	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	3	0	https://github.com/simark/lolc	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	tedneward-lolcomp	tedneward/lolcomp	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	3	0	https://github.com/tedneward/lolcomp	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	scinscinscin-compiler-design	scinscinscin/compiler-design	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	20	0	https://github.com/scinscinscin/compiler-design	repo-name-impl-signal,path-lol-extension-signal	
tier2	monlih-lulz	MonliH/lulz	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	10	0	https://github.com/MonliH/lulz	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	charlestabuzo-lolcode-interpreter	CharlesTabuzo/LOLCODE-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/CharlesTabuzo/LOLCODE-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-lol-extension-signal	
tier2	theoistic-lolcode-dot-net	Theoistic/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/Theoistic/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	chunlea-lolcode-dot-net	chunlea/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/chunlea/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
