tier	label	repo	kind	oracle_priority	corpus_priority	source	status	code_hit_count	stars	html_url
tier2	lofilabo-zoe-true-language	lofilabo/zoe-true-language	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	42	0	https://github.com/lofilabo/zoe-true-language
tier2	niladriranjandas-dreamv2	niladriranjandas/DREAMv2	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	31	0	https://github.com/niladriranjandas/DREAMv2
tier2	jynnantonix-lolcode	jynnantonix/lolcode	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	20	0	https://github.com/jynnantonix/lolcode
tier2	scinscinscin-compiler-design	scinscinscin/compiler-design	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	20	0	https://github.com/scinscinscin/compiler-design
tier2	lofilabo-zoe-experiment-1	lofilabo/zoe_experiment_1	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	16	0	https://github.com/lofilabo/zoe_experiment_1
tier2	monlih-lulz	MonliH/lulz	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	10	0	https://github.com/MonliH/lulz
tier2	jtvallente-cmsc124-project	jtvallente/CMSC124-Project	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	10	0	https://github.com/jtvallente/CMSC124-Project
tier2	lolcodepp-lci	lolcodepp/lci	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	10	0	https://github.com/lolcodepp/lci
tier2	redcapital-layo	redcapital/layo	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	10	0	https://github.com/redcapital/layo
tier2	jocelyne8-lolcode	jocelyne8/lolcode	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	9	4	https://github.com/jocelyne8/lolcode
tier2	danie-a-cmsc124-project-lolcode-interpreter	Danie-A/CMSC124_Project_LolCode_Interpreter	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	8	0	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter
tier2	irissec-irisctf-2025-challenges	IrisSec/IrisCTF-2025-Challenges	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	8	0	https://github.com/IrisSec/IrisCTF-2025-Challenges
tier2	jmarias-edu-python-portfolio	jmarias-edu/python-portfolio	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	7	0	https://github.com/jmarias-edu/python-portfolio
tier2	pilate-yolol-scripts	pilate/yolol-scripts	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	7	0	https://github.com/pilate/yolol-scripts
tier2	seanpm2001-snu-2d-programmingtools-ide-lolcode	seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	6	2	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE
tier2	nikitagrygoriev-lolcode-compiler	nikitagrygoriev/LOLCODE_Compiler	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	6	0	https://github.com/nikitagrygoriev/LOLCODE_Compiler
tier2	rtoal-ple	rtoal/ple	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	6	0	https://github.com/rtoal/ple
tier2	darylldan-lolcode-testcases	darylldan/lolcode-testcases	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	5	0	https://github.com/darylldan/lolcode-testcases
tier2	jmarias-edu-arias-portfolio	jmarias-edu/arias-portfolio	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	5	0	https://github.com/jmarias-edu/arias-portfolio
tier2	toatularora-iiser-repo	toAtulArora/IISER_repo	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	5	0	https://github.com/toAtulArora/IISER_repo
tier2	mstraughan86-esoteric-language-studies	mstraughan86/Esoteric-Language-Studies	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	7	https://github.com/mstraughan86/Esoteric-Language-Studies
tier2	nautilus-institute-quals-2023	Nautilus-Institute/quals-2023	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/Nautilus-Institute/quals-2023
tier2	browndeer-lcc	browndeer/lcc	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/browndeer/lcc
tier2	jrppena-chickenwingscmsc124proj	jrppena/ChickenWingsCMSC124Proj	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/jrppena/ChickenWingsCMSC124Proj
tier2	jwdpanganiban-lolterpreter	jwdpanganiban/lolterpreter	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/jwdpanganiban/lolterpreter
tier2	martindevans-yolol	martindevans/Yolol	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/martindevans/Yolol
tier2	mattleibow-dotnet-lolcode	mattleibow/dotnet-lolcode	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/mattleibow/dotnet-lolcode
tier2	pmonks-clj-lolcode	pmonks/clj-lolcode	corpus	P3	P2	github-language-lolcode-2026-03-12	discovered	4	0	https://github.com/pmonks/clj-lolcode
