repo	in_catalog	in_repo_search	in_code_search	code_hit_count	stars	archived	updated_at	html_url
lofilabo/zoe-true-language	no	no	yes	42	0	no		https://github.com/lofilabo/zoe-true-language
niladriranjandas/DREAMv2	no	yes	yes	31	0	no	2024-03-14T13:51:53Z	https://github.com/niladriranjandas/DREAMv2
jynnantonix/lolcode	no	no	yes	20	0	no		https://github.com/jynnantonix/lolcode
scinscinscin/compiler-design	no	no	yes	20	0	no		https://github.com/scinscinscin/compiler-design
lofilabo/zoe_experiment_1	no	no	yes	16	0	no		https://github.com/lofilabo/zoe_experiment_1
MonliH/lulz	no	no	yes	10	0	no		https://github.com/MonliH/lulz
jtvallente/CMSC124-Project	no	no	yes	10	0	no		https://github.com/jtvallente/CMSC124-Project
lolcodepp/lci	no	no	yes	10	0	no		https://github.com/lolcodepp/lci
redcapital/layo	no	no	yes	10	0	no		https://github.com/redcapital/layo
jocelyne8/lolcode	no	yes	yes	9	4	no	2019-03-31T21:40:10Z	https://github.com/jocelyne8/lolcode
Danie-A/CMSC124_Project_LolCode_Interpreter	no	no	yes	8	0	no		https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter
IrisSec/IrisCTF-2025-Challenges	no	no	yes	8	0	no		https://github.com/IrisSec/IrisCTF-2025-Challenges
jmarias-edu/python-portfolio	no	no	yes	7	0	no		https://github.com/jmarias-edu/python-portfolio
pilate/yolol-scripts	no	yes	yes	7	0	no	2021-09-26T20:31:48Z	https://github.com/pilate/yolol-scripts
seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	no	yes	yes	6	2	no	2022-11-12T01:07:54Z	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE
nikitagrygoriev/LOLCODE_Compiler	no	no	yes	6	0	no		https://github.com/nikitagrygoriev/LOLCODE_Compiler
rtoal/ple	no	no	yes	6	0	no		https://github.com/rtoal/ple
darylldan/lolcode-testcases	no	yes	yes	5	0	no	2025-11-13T08:22:59Z	https://github.com/darylldan/lolcode-testcases
jmarias-edu/arias-portfolio	no	no	yes	5	0	no		https://github.com/jmarias-edu/arias-portfolio
