repo	kind	priority	curation_score	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	reasons	html_url
MonliH/lulz	implementation	P1	61	Rust	3	10	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,docs-signal,corpus-signal,also-in-language-snapshot	https://github.com/MonliH/lulz
NullDev/I-HAS-JS	implementation	P1	60	JavaScript	11	0	yes	no	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal,corpus-signal,already-in-candidate-catalog	https://github.com/NullDev/I-HAS-JS
justinmeza/lci	implementation	P1	58	C	809	10	yes	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/justinmeza/lci
jynnantonix/lolcode	implementation	P1	57	Python	6	20	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/jynnantonix/lolcode
lolcodepp/lci	implementation	P1	53	C	1	10	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/lolcodepp/lci
Danie-A/CMSC124_Project_LolCode_Interpreter	implementation	P1	51	Python	2	8	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter
redcapital/layo	implementation	P1	47	Ruby	3	10	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/redcapital/layo
JaiLeonor/LOLCODE-Interpreter	implementation	P1	46	JavaScript	0	0	no	no	implementation-signal,tooling-signal,corpus-signal	https://github.com/JaiLeonor/LOLCODE-Interpreter
andreanics/LolCode-Interpreter	implementation	P1	46	JavaScript	0	0	no	no	implementation-signal,tooling-signal,corpus-signal	https://github.com/andreanics/LolCode-Interpreter
jD91mZM2/rust-lci	implementation	P1	45	Rust	16	3	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/jD91mZM2/rust-lci
mutcianm/lolcodec	implementation	P1	45	Java	1	2	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/mutcianm/lolcodec
Yash-Singh1/lolcode-console	implementation	P1	45	JavaScript	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal	https://github.com/Yash-Singh1/lolcode-console
markwatkinson/loljs	implementation	P1	45	JavaScript	1	0	yes	no	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal,already-in-candidate-catalog	https://github.com/markwatkinson/loljs
blongden/lolcode-php	implementation	P1	44	PHP	10	1	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/blongden/lolcode-php
monumei/skibidi-brat	implementation	P1	44	Python	1	1	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/monumei/skibidi-brat
netfri25/lolcode-json	implementation	P1	43	LOLCODE	3	0	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/netfri25/lolcode-json
rymaju/lolcode	implementation	P1	43	Racket	3	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/rymaju/lolcode
nikitagrygoriev/LOLCODE_Compiler	implementation	P1	43	Java	1	6	no	yes	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/nikitagrygoriev/LOLCODE_Compiler
francisquianzon/CMSC124-LOLCode-Interpreter	implementation	P1	43	Python	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/francisquianzon/CMSC124-LOLCode-Interpreter
keijeizei/nyanterpreter	implementation	P1	43	JavaScript	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/keijeizei/nyanterpreter
racarlos/lolterpreter	implementation	P1	43	Python	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/racarlos/lolterpreter
tmaciejewski/lcc	implementation	P1	43	C	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/tmaciejewski/lcc
Ajlyde/LOLCODE	implementation	P1	42	Python	0	2	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/Ajlyde/LOLCODE
jmacato/LOLSharp	implementation	P1	42		0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal	https://github.com/jmacato/LOLSharp
browndeer/lcc	implementation	P1	41	C	5	4	no	yes	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/browndeer/lcc
pmonks/clj-lolcode	implementation	P1	41	Clojure	2	4	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/pmonks/clj-lolcode
krispypatata/lolcode-interpreter-py	implementation	P1	41	Python	0	1	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/krispypatata/lolcode-interpreter-py
ksumallo/lolspeaker	implementation	P1	41	Python	0	1	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/ksumallo/lolspeaker
nadineanareta/lolcode-interpreter	implementation	P1	41	Python	0	1	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/nadineanareta/lolcode-interpreter
rvantonder/antlr-lolcode	implementation	P1	41	Java	0	1	no	yes	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/rvantonder/antlr-lolcode
parrot/lolcode	implementation	P1	40	Perl	5	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/parrot/lolcode
belkadan/lolcode-rb	implementation	P1	40	Ruby	2	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/belkadan/lolcode-rb
simark/lolc	implementation	P1	40	Java	2	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/simark/lolc
ChristianLois/CMSC124-LOLCODE-INTERPRETER	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/ChristianLois/CMSC124-LOLCODE-INTERPRETER
TimothyJosef-Reyes/LOL_CODE-INTERPRETER	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/TimothyJosef-Reyes/LOL_CODE-INTERPRETER
aagoshi/lolcode	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/aagoshi/lolcode
aljonnovelo/lolcode-parser	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/aljonnovelo/lolcode-parser
clarmndp/lolcode-interpreter-cmsc124	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/clarmndp/lolcode-interpreter-cmsc124
egozverev/esoteric_interpreter	implementation	P1	40	Yacc	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/egozverev/esoteric_interpreter
ezancanaro/LolCode-T2ezancanaro	implementation	P1	40	Java	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/ezancanaro/LolCode-T2ezancanaro
jaysonix3/CMSC-124-LOLCODE	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/jaysonix3/CMSC-124-LOLCODE
jlppascual/LOLCODE_Beililits	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/jlppascual/LOLCODE_Beililits
kathcabrera/LOLterpreter	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,noise-signal	https://github.com/kathcabrera/LOLterpreter
koral293/lolcode-lexer	implementation	P1	40	C	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/koral293/lolcode-lexer
kylelemons/lolcode-ctools	implementation	P1	40	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/kylelemons/lolcode-ctools
lorenzggabriel/WitLang-LolCode-Interpreter	implementation	P1	40	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/lorenzggabriel/WitLang-LolCode-Interpreter
tcort/minou	implementation	P1	40	Lex	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/tcort/minou
netfri25/rlci	implementation	P1	39	Rust	6	0	no	no	implementation-signal,tooling-signal	https://github.com/netfri25/rlci
mattleibow/lolcode-dot-net	implementation	P1	39	C#	4	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mattleibow/lolcode-dot-net
JasonBock/LOLCode.net	implementation	P1	39	C#	3	2	yes	yes	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/JasonBock/LOLCode.net
CharlesTabuzo/LOLCODE-interpreter	implementation	P1	39	Python	1	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/CharlesTabuzo/LOLCODE-interpreter
camanzanido/LOLCODE-Interpreter	implementation	P1	39	Python	1	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/camanzanido/LOLCODE-Interpreter
cvpua/CMSC124_Project	implementation	P1	39	Python	1	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/cvpua/CMSC124_Project
gitsly/lolcode-dot-net	implementation	P1	39	C#	1	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/gitsly/lolcode-dot-net
justinmeza/lolcode	implementation	P1	38	C	58	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/justinmeza/lolcode
aduros/trollcat	implementation	P1	38		3	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/aduros/trollcat
austinbyers/LOLcat	implementation	P1	38	Python	2	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/austinbyers/LOLcat
ABCD-rgb/lolcode-interpreter	implementation	P1	38	Python	1	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/ABCD-rgb/lolcode-interpreter
jedalain/cmsc-124-lolcode-project	implementation	P1	38	Python	1	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/jedalain/cmsc-124-lolcode-project
