kind	repo
root-missing	0xicl33n/discord.lol
root-missing	Ahmadzaihabib/lolCodeFinal
root-missing	ChenDDDAA/LOLcode
root-missing	JemTorres/lolinterpreter
root-missing	LolCode9999/LOlCode99991
root-missing	Madseffect/LOLCODE
root-missing	PathikShah-13/-root-programming-entry
root-missing	SandeeepKiran/LOLCODE-https-learnxinyminutes.com-docs-LOLCODE-
root-missing	Sterlinsheeja/lolcode
root-missing	aghastmuffin/lolcode.py
root-missing	alcalamatthew/lolcode-test
root-missing	alexcimr/Transpiler-LOLCODE-do-Pythona
root-missing	brightblackhole/lolcode
root-missing	da1ssk7/justinmezad
root-missing	dlsantos/lolcode
root-missing	ivanpolo-pro/lolcode
root-missing	loloshkaCode/lolCode
root-missing	murraytime803/lolcode
root-missing	nikmend/LoLCode
root-missing	ryanresoles/LOLCODE-compiler
root-missing	seancua/CMSC124-Project
root-missing	tewe11/lolcode-docs
