repo	kind	priority	curation_score	language	stars	code_hit_count	reasons	html_url
JaiLeonor/LOLCODE-Interpreter	implementation	P1	46	JavaScript	0	0	implementation-signal,tooling-signal,corpus-signal	https://github.com/JaiLeonor/LOLCODE-Interpreter
andreanics/LolCode-Interpreter	implementation	P1	46	JavaScript	0	0	implementation-signal,tooling-signal,corpus-signal	https://github.com/andreanics/LolCode-Interpreter
Devedir/lolcodeweb	implementation	P1	37	HTML	1	0	implementation-signal,impl-root-signal,corpus-signal	https://github.com/Devedir/lolcodeweb
mishaaq/pylol	implementation	P1	37	Python	1	0	implementation-signal,corpus-signal	https://github.com/mishaaq/pylol
stephen-riley/lolc	implementation	P1	37	C#	1	0	implementation-signal,corpus-signal	https://github.com/stephen-riley/lolc
Mtlayones/lolcode-interpreter	implementation	P1	36	JavaScript	0	0	implementation-signal,tooling-signal	https://github.com/Mtlayones/lolcode-interpreter
NicolePrivado/LolCode-Interpreter-ReactJS	implementation	P1	36	JavaScript	0	0	implementation-signal,tooling-signal,noise-signal	https://github.com/NicolePrivado/LolCode-Interpreter-ReactJS
karlpaolo/lolcode-interpreter	implementation	P1	36	JavaScript	0	0	implementation-signal,tooling-signal	https://github.com/karlpaolo/lolcode-interpreter
peterrupa/uLOLCODE-Interpreter	implementation	P1	36	JavaScript	0	0	implementation-signal,tooling-signal	https://github.com/peterrupa/uLOLCODE-Interpreter
Bonkowz/lolcode-interpreter-Python	implementation	P1	34	Python	0	0	implementation-signal,corpus-signal	https://github.com/Bonkowz/lolcode-interpreter-Python
JayJeyaruban/rlcc	implementation	P1	34	Rust	0	0	implementation-signal,corpus-signal	https://github.com/JayJeyaruban/rlcc
KevinGines1/lolcode	implementation	P1	34	Python	0	0	implementation-signal,corpus-signal	https://github.com/KevinGines1/lolcode
Ljmbautista/LOLCODE-Interpreter-CMSC-124-Project-	implementation	P1	34	Java	0	0	implementation-signal,corpus-signal	https://github.com/Ljmbautista/LOLCODE-Interpreter-CMSC-124-Project-
Owkik/LOLCODE-Interpreter	implementation	P1	34	Python	0	0	implementation-signal,corpus-signal	https://github.com/Owkik/LOLCODE-Interpreter
alecgerona/cmsc124lolterpreter	implementation	P1	34	C#	0	0	implementation-signal,corpus-signal	https://github.com/alecgerona/cmsc124lolterpreter
amsmite001/LOLCode	implementation	P1	34	Jupyter Notebook	0	0	implementation-signal,corpus-signal,noise-signal	https://github.com/amsmite001/LOLCode
anton-br/lolcode_interpreter	implementation	P1	34	Python	0	0	implementation-signal,corpus-signal	https://github.com/anton-br/lolcode_interpreter
