repo	language	stars	code_hit_count	source	status	html_url
justinmeza/lolcode-spec		631	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/justinmeza/lolcode-spec
justinmeza/lolcode	C	58	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/justinmeza/lolcode
igrigorik/ruby2lolz	Ruby	38	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/igrigorik/ruby2lolz
replit-archive/lol-coffee	CoffeeScript	25	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/replit-archive/lol-coffee
rodrigocaldeira/tictactoelolcode	LOLCODE	21	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rodrigocaldeira/tictactoelolcode
arwinneil/vscode-lolcode		15	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/arwinneil/vscode-lolcode
leyarotheconquerer/lolcode-reference	HTML	14	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/leyarotheconquerer/lolcode-reference
Swizec/lolcode-babel-macro	JavaScript	12	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Swizec/lolcode-babel-macro
blongden/lolcode-php	PHP	10	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/blongden/lolcode-php
Stovoy/LOLCODE-Snake	LOLCODE	10	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Stovoy/LOLCODE-Snake
ash-of-the-meadow/LOLC	C	9	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ash-of-the-meadow/LOLC
fsill99/fibonacci	LOLCODE	8	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/fsill99/fibonacci
Adjamo/ROFL-On-Rails	Ruby	8	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Adjamo/ROFL-On-Rails
CodaFi/LOLCODE.tmLanguage		8	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/CodaFi/LOLCODE.tmLanguage
Kimbsy/lolcode	LOLCODE	7	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Kimbsy/lolcode
Xe/lolcode.vim	VimL	7	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Xe/lolcode.vim
jynnantonix/lolcode	Python	6	20	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/jynnantonix/lolcode
JSantosP/lolcode-dsl	Scala	6	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/JSantosP/lolcode-dsl
mapmeld/MapPLZ	JavaScript	6	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mapmeld/MapPLZ
netfri25/rlci	Rust	6	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/netfri25/rlci
browndeer/lcc	C	5	4	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/browndeer/lcc
parrot/lolcode	Perl	5	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/parrot/lolcode
HogardDeLauger/lolcode-equation-solver	LOLCODE	5	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/HogardDeLauger/lolcode-equation-solver
javif89/webcat	Python	5	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/javif89/webcat
PieVieRo/LOLCODE-calculator	LOLCODE	5	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/PieVieRo/LOLCODE-calculator
gomfunkel/lolcode-playground		5	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/gomfunkel/lolcode-playground
jqr/lolcodr	Ruby	5	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/jqr/lolcodr
meh/llvm-lol	C++	5	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/meh/llvm-lol
satyamshorrf/Funny-Coding-Languages	POV-Ray SDL	5	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/satyamshorrf/Funny-Coding-Languages
jocelyne8/lolcode	LOLCODE	4	9	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/jocelyne8/lolcode
mattleibow/lolcode-dot-net	C#	4	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mattleibow/lolcode-dot-net
Buttars/LOLCODE-FIBONACCI	LOLCODE	4	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Buttars/LOLCODE-FIBONACCI
aurasphere/scripts	Java	4	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/aurasphere/scripts
MonliH/lulz	Rust	3	10	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/MonliH/lulz
redcapital/layo	Ruby	3	10	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/redcapital/layo
aduros/trollcat		3	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/aduros/trollcat
carlmathisen/htmx-lolcode	LOLCODE	3	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/carlmathisen/htmx-lolcode
justinmeza/lollm	LOLCODE	3	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/justinmeza/lollm
Zyndoras/calculator.lol	LOLCODE	3	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Zyndoras/calculator.lol
akleemans/pogo-ivrater-lolcode	LOLCODE	3	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/akleemans/pogo-ivrater-lolcode
bodil/lolcode-mode	Emacs Lisp	3	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/bodil/lolcode-mode
netfri25/lolcode-json	LOLCODE	3	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/netfri25/lolcode-json
rymaju/lolcode	Racket	3	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rymaju/lolcode
Danie-A/CMSC124_Project_LolCode_Interpreter	Python	2	8	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter
seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	LOLCODE	2	6	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE
pmonks/clj-lolcode	Clojure	2	4	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/pmonks/clj-lolcode
belkadan/lolcode-rb	Ruby	2	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/belkadan/lolcode-rb
chutasano/lolcode	LOLCODE	2	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/chutasano/lolcode
simark/lolc	Java	2	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/simark/lolc
austinbyers/LOLcat	Python	2	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/austinbyers/LOLcat
Chameleon-Coder/cat-journey	LOLCODE	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Chameleon-Coder/cat-journey
EloniX-X/LOLCODE-calculator	LOLCODE	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/EloniX-X/LOLCODE-calculator
KrazIvan/LOLCODE-grammar-vscode	TypeScript	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/KrazIvan/LOLCODE-grammar-vscode
calvinmm/lolcode-dsl	Scala	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/calvinmm/lolcode-dsl
fabasoad/setup-lolcode-action	Shell	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/fabasoad/setup-lolcode-action
nathanchere/HackerRank_LOLCODE	LOLCODE	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/nathanchere/HackerRank_LOLCODE
rae-ralston/can-i-haz-blockchain	JavaScript	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rae-ralston/can-i-haz-blockchain
