repo	kind	priority	curation_score	language	stars	code_hit_count	reasons	html_url
MonliH/lulz	implementation	P1	61	Rust	3	10	implementation-signal,impl-root-signal,grammar-root-signal,docs-signal,corpus-signal,also-in-language-snapshot	https://github.com/MonliH/lulz
jynnantonix/lolcode	implementation	P1	57	Python	6	20	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/jynnantonix/lolcode
lolcodepp/lci	implementation	P1	53	C	1	10	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/lolcodepp/lci
Danie-A/CMSC124_Project_LolCode_Interpreter	implementation	P1	51	Python	2	8	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter
redcapital/layo	implementation	P1	47	Ruby	3	10	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/redcapital/layo
mutcianm/lolcodec	implementation	P1	45	Java	1	2	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/mutcianm/lolcodec
Yash-Singh1/lolcode-console	implementation	P1	45	JavaScript	1	0	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal	https://github.com/Yash-Singh1/lolcode-console
blongden/lolcode-php	implementation	P1	44	PHP	10	1	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/blongden/lolcode-php
monumei/skibidi-brat	implementation	P1	44	Python	1	1	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/monumei/skibidi-brat
netfri25/lolcode-json	implementation	P1	43	LOLCODE	3	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/netfri25/lolcode-json
rymaju/lolcode	implementation	P1	43	Racket	3	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/rymaju/lolcode
