tier	label	repo	kind	oracle_priority	corpus_priority	source	status	curation_score	stars	code_hit_count	html_url	reasons	discovery_kind	subkind	bucket
tier2	monlih-lulz	MonliH/lulz	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	61	3	10	https://github.com/MonliH/lulz	implementation-signal,impl-root-signal,grammar-root-signal,docs-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	jynnantonix-lolcode	jynnantonix/lolcode	interpreter	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	57	6	20	https://github.com/jynnantonix/lolcode	implementation-signal,corpus-signal,also-in-language-snapshot	implementation	interpreter	obvious-keep
tier2	lolcodepp-lci	lolcodepp/lci	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	53	1	10	https://github.com/lolcodepp/lci	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	danie-a-cmsc124-project-lolcode-interpreter	Danie-A/CMSC124_Project_LolCode_Interpreter	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	51	2	8	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	redcapital-layo	redcapital/layo	interpreter	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	47	3	10	https://github.com/redcapital/layo	implementation-signal,corpus-signal,also-in-language-snapshot	implementation	interpreter	obvious-keep
tier2	jaileonor-lolcode-interpreter	JaiLeonor/LOLCODE-Interpreter	interpreter	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	46	0	0	https://github.com/JaiLeonor/LOLCODE-Interpreter	implementation-signal,tooling-signal,corpus-signal	implementation	interpreter	manual-review
tier2	andreanics-lolcode-interpreter	andreanics/LolCode-Interpreter	interpreter	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	46	0	0	https://github.com/andreanics/LolCode-Interpreter	implementation-signal,tooling-signal,corpus-signal	implementation	interpreter	manual-review
tier2	mutcianm-lolcodec	mutcianm/lolcodec	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	45	1	2	https://github.com/mutcianm/lolcodec	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	yash-singh1-lolcode-console	Yash-Singh1/lolcode-console	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	45	1	0	https://github.com/Yash-Singh1/lolcode-console	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal	implementation	parser	obvious-keep
tier2	blongden-lolcode-php	blongden/lolcode-php	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	44	10	1	https://github.com/blongden/lolcode-php	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	monumei-skibidi-brat	monumei/skibidi-brat	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	44	1	1	https://github.com/monumei/skibidi-brat	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	netfri25-lolcode-json	netfri25/lolcode-json	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	43	3	0	https://github.com/netfri25/lolcode-json	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	implementation	parser	obvious-keep
tier2	rymaju-lolcode	rymaju/lolcode	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	43	3	0	https://github.com/rymaju/lolcode	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	implementation	parser	obvious-keep
tier2	nikitagrygoriev-lolcode-compiler	nikitagrygoriev/LOLCODE_Compiler	compiler	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	43	1	6	https://github.com/nikitagrygoriev/LOLCODE_Compiler	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	implementation	compiler	obvious-keep
tier2	francisquianzon-cmsc124-lolcode-interpreter	francisquianzon/CMSC124-LOLCode-Interpreter	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	43	1	0	https://github.com/francisquianzon/CMSC124-LOLCode-Interpreter	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	implementation	parser	obvious-keep
tier2	keijeizei-nyanterpreter	keijeizei/nyanterpreter	parser	P1	P3	github-repo-search-lolcode-curated-2026-04-01	curated-discovered	43	1	0	https://github.com/keijeizei/nyanterpreter	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	implementation	parser	obvious-keep
