repo	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	html_url
justinmeza/lci	C	809	10	yes	yes	https://github.com/justinmeza/lci
justinmeza/lolcode-spec		631	0	no	no	https://github.com/justinmeza/lolcode-spec
justinmeza/httpd.lol	LOLCODE	137	0	yes	yes	https://github.com/justinmeza/httpd.lol
justinmeza/lolcode	C	58	0	no	no	https://github.com/justinmeza/lolcode
igrigorik/ruby2lolz	Ruby	38	0	no	no	https://github.com/igrigorik/ruby2lolz
replit-archive/lol-coffee	CoffeeScript	25	0	no	no	https://github.com/replit-archive/lol-coffee
rodrigocaldeira/tictactoelolcode	LOLCODE	21	1	no	yes	https://github.com/rodrigocaldeira/tictactoelolcode
LeartS/loleuler	LOLCODE	18	2	yes	yes	https://github.com/LeartS/loleuler
jD91mZM2/rust-lci	Rust	16	3	yes	yes	https://github.com/jD91mZM2/rust-lci
arwinneil/vscode-lolcode		15	0	no	no	https://github.com/arwinneil/vscode-lolcode
leyarotheconquerer/lolcode-reference	HTML	14	0	no	no	https://github.com/leyarotheconquerer/lolcode-reference
Swizec/lolcode-babel-macro	JavaScript	12	0	no	no	https://github.com/Swizec/lolcode-babel-macro
NullDev/I-HAS-JS	JavaScript	11	0	yes	no	https://github.com/NullDev/I-HAS-JS
blongden/lolcode-php	PHP	10	1	no	yes	https://github.com/blongden/lolcode-php
Stovoy/LOLCODE-Snake	LOLCODE	10	0	no	yes	https://github.com/Stovoy/LOLCODE-Snake
ash-of-the-meadow/LOLC	C	9	0	no	no	https://github.com/ash-of-the-meadow/LOLC
fsill99/fibonacci	LOLCODE	8	1	no	yes	https://github.com/fsill99/fibonacci
Adjamo/ROFL-On-Rails	Ruby	8	0	no	no	https://github.com/Adjamo/ROFL-On-Rails
CodaFi/LOLCODE.tmLanguage		8	0	no	no	https://github.com/CodaFi/LOLCODE.tmLanguage
Kimbsy/lolcode	LOLCODE	7	2	no	yes	https://github.com/Kimbsy/lolcode
markjreed/eulol	LOLCODE	7	2	yes	yes	https://github.com/markjreed/eulol
Xe/lolcode.vim	VimL	7	0	no	no	https://github.com/Xe/lolcode.vim
jynnantonix/lolcode	Python	6	20	no	yes	https://github.com/jynnantonix/lolcode
JSantosP/lolcode-dsl	Scala	6	0	no	no	https://github.com/JSantosP/lolcode-dsl
eggyknap/pllolcode	C	6	0	yes	no	https://github.com/eggyknap/pllolcode
mapmeld/MapPLZ	JavaScript	6	0	no	no	https://github.com/mapmeld/MapPLZ
netfri25/rlci	Rust	6	0	no	no	https://github.com/netfri25/rlci
browndeer/lcc	C	5	4	no	yes	https://github.com/browndeer/lcc
parrot/lolcode	Perl	5	3	no	yes	https://github.com/parrot/lolcode
HogardDeLauger/lolcode-equation-solver	LOLCODE	5	1	no	yes	https://github.com/HogardDeLauger/lolcode-equation-solver
javif89/webcat	Python	5	1	no	yes	https://github.com/javif89/webcat
PieVieRo/LOLCODE-calculator	LOLCODE	5	0	no	yes	https://github.com/PieVieRo/LOLCODE-calculator
gomfunkel/lolcode-playground		5	0	no	no	https://github.com/gomfunkel/lolcode-playground
jqr/lolcodr	Ruby	5	0	no	no	https://github.com/jqr/lolcodr
meh/llvm-lol	C++	5	0	no	no	https://github.com/meh/llvm-lol
satyamshorrf/Funny-Coding-Languages	POV-Ray SDL	5	0	no	no	https://github.com/satyamshorrf/Funny-Coding-Languages
jocelyne8/lolcode	LOLCODE	4	9	no	yes	https://github.com/jocelyne8/lolcode
mattleibow/lolcode-dot-net	C#	4	2	no	yes	https://github.com/mattleibow/lolcode-dot-net
Buttars/LOLCODE-FIBONACCI	LOLCODE	4	1	no	yes	https://github.com/Buttars/LOLCODE-FIBONACCI
aurasphere/scripts	Java	4	0	no	no	https://github.com/aurasphere/scripts
qoobaa/lol	Ruby	4	0	yes	no	https://github.com/qoobaa/lol
MonliH/lulz	Rust	3	10	no	yes	https://github.com/MonliH/lulz
redcapital/layo	Ruby	3	10	no	yes	https://github.com/redcapital/layo
